N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
201,0.0,0.4,1.0,480,0.7158,0.8330786
201,0.0,0.5,1.0,600,0.7098,0.8330786
201,0.0,0.55,1.0,666,0.7022,0.8330786
201,0.0,0.61,0.833,615,0.703,0.8330786
201,0.0,0.67,0.167,135,0.6799,0.8330786
201,0.0,0.73,0.333,294,0.7122,0.8330786
201,0.0,0.79,0.0,0,,0.8330786
201,0.05,0.4,1.0,480,0.7162,0.7810743
201,0.05,0.5,1.0,600,0.7161,0.7810743
201,0.05,0.55,1.0,666,0.6802,0.7810743
201,0.05,0.61,1.0,738,0.6609,0.7810743
201,0.05,0.67,0.0,0,,0.7810743
201,0.05,0.73,0.0,0,,0.7810743
201,0.05,0.79,0.0,0,,0.7810743
201,0.1,0.4,1.0,480,0.6552,0.7330167
201,0.1,0.5,1.0,600,0.6275,0.7330167
201,0.1,0.55,0.833,555,0.654,0.7330167
201,0.1,0.61,0.167,123,0.6888,0.7330167
201,0.1,0.67,0.0,0,,0.7330167
201,0.1,0.73,0.167,147,0.6613,0.7330167
201,0.1,0.79,0.0,0,,0.7330167
