N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
301,0.0,0.44,1.0,792,0.7103,0.8330786
301,0.0,0.5,1.0,900,0.6928,0.8330786
301,0.0,0.56,0.5,507,0.6907,0.8330786
301,0.0,0.62,0.167,187,0.7287,0.8330786
301,0.0,0.68,0.0,0,,0.8330786
301,0.05,0.44,1.0,792,0.6756,0.7810743
301,0.05,0.5,1.0,900,0.6649,0.7810743
301,0.05,0.56,0.167,169,0.7412,0.7810743
301,0.05,0.62,0.167,187,0.73,0.7810743
301,0.05,0.68,0.0,0,,0.7810743
301,0.1,0.44,1.0,792,0.6676,0.7330167
301,0.1,0.5,0.667,600,0.663,0.7330167
301,0.1,0.56,0.333,338,0.6714,0.7330167
301,0.1,0.62,0.0,0,,0.7330167
301,0.1,0.68,0.0,0,,0.7330167
