kappa,alpha,gap
0.0,0.4,0.00982
0.0,0.4,0.11762
0.0,0.4,0.34967
0.0,0.4,0.13842
0.0,0.4,0.93134
0.0,0.4,0.4974
0.0,0.4,0.05866
0.0,0.4,0.3887
0.0,0.4,1.50373
0.0,0.4,0.922
0.0,0.4,1.32693
0.0,0.4,1.15157
0.0,0.4,0.67184
0.0,0.4,0.56445
0.0,0.4,0.11201
0.0,0.4,1.48106
0.0,0.4,0.75075
0.0,0.4,0.47049
0.0,0.4,1.66408
0.0,0.4,0.47846
0.0,0.4,0.83211
0.0,0.4,0.97532
0.0,0.4,0.46334
0.0,0.4,1.08496
0.0,0.4,1.07422
0.0,0.4,0.14624
0.0,0.4,1.61024
0.0,0.4,0.32553
0.0,0.4,0.6788
0.0,0.4,0.49338
0.0,0.4,0.19559
0.0,0.4,1.019
0.0,0.4,0.5624
0.0,0.4,1.4412
0.0,0.4,0.72511
0.0,0.4,0.00988
0.0,0.4,0.17361
0.0,0.4,0.02814
0.0,0.4,0.56962
0.0,0.4,0.32828
0.0,0.4,2.32638
0.0,0.4,0.30715
0.0,0.4,1.37954
0.0,0.4,1.19069
0.0,0.4,1.1694
0.0,0.4,0.6613
0.0,0.4,0.2051
0.0,0.4,1.51118
0.0,0.4,0.57479
0.0,0.4,1.25115
0.0,0.4,0.35848
0.0,0.4,0.4511
0.0,0.4,0.36291
0.0,0.4,0.18038
0.0,0.4,0.44391
0.0,0.4,0.19926
0.0,0.4,0.79475
0.0,0.4,1.39155
0.0,0.4,1.30272
0.0,0.4,1.78377
0.0,0.4,0.78863
0.0,0.4,1.90378
0.0,0.4,0.671
0.0,0.4,1.99196
0.0,0.4,0.18764
0.0,0.4,1.0144
0.0,0.4,0.11389
0.0,0.4,0.32706
0.0,0.4,2.36332
0.0,0.4,1.25322
0.0,0.4,0.20877
0.0,0.4,0.42194
0.0,0.4,0.62186
0.0,0.4,0.06925
0.0,0.4,0.98735
0.0,0.4,0.45987
0.0,0.4,0.31387
0.0,0.4,0.8144
0.0,0.4,0.85386
0.0,0.4,0.67308
0.0,0.4,0.45819
0.0,0.4,0.03511
0.0,0.4,0.0768
0.0,0.4,1.50014
0.0,0.4,0.51742
0.0,0.4,0.56794
0.0,0.4,1.77431
0.0,0.4,0.59495
0.0,0.4,0.24182
0.0,0.4,2.24357
0.0,0.4,0.68291
0.0,0.4,1.23277
0.0,0.4,0.24376
0.0,0.4,0.03679
0.0,0.4,0.39807
0.0,0.4,0.08845
0.0,0.4,0.2523
0.0,0.4,0.3138
0.0,0.4,0.52207
0.0,0.4,0.11706
0.0,0.4,2.33673
0.0,0.4,0.46414
0.0,0.4,2.21938
0.0,0.4,1.51721
0.0,0.4,1.37476
0.0,0.4,0.84228
0.0,0.4,1.008
0.0,0.4,0.48288
0.0,0.4,1.56155
0.0,0.4,0.04272
0.0,0.4,0.74469
0.0,0.4,2.77927
0.0,0.4,0.29665
0.0,0.4,0.19515
0.0,0.4,0.43187
0.0,0.4,1.2479
0.0,0.4,1.76518
0.0,0.4,0.60381
0.0,0.4,0.22705
0.0,0.4,0.70479
0.0,0.4,0.59012
0.0,0.4,0.41215
0.0,0.4,0.20372
0.0,0.4,0.24445
