kappa,alpha,gap
0.0,0.4,0.62735
0.0,0.4,0.20423
0.0,0.4,2.93009
0.0,0.4,0.63459
0.0,0.4,0.41952
0.0,0.4,0.46348
0.0,0.4,1.37672
0.0,0.4,0.99695
0.0,0.4,0.83757
0.0,0.4,0.00343
0.0,0.4,1.20658
0.0,0.4,0.78954
0.0,0.4,0.69188
0.0,0.4,0.08349
0.0,0.4,0.24887
0.0,0.4,0.91781
0.0,0.4,0.0515
0.0,0.4,0.38546
0.0,0.4,0.09277
0.0,0.4,2.21907
0.0,0.4,0.33238
0.0,0.4,1.80845
0.0,0.4,0.28794
0.0,0.4,0.23941
0.0,0.4,0.12988
0.0,0.4,0.5957
0.0,0.4,0.11
0.0,0.4,0.56432
0.0,0.4,1.05891
0.0,0.4,1.46938
0.0,0.4,0.21597
0.0,0.4,1.261
0.0,0.4,1.51449
0.0,0.4,0.51004
0.0,0.4,0.33413
0.0,0.4,0.33641
0.0,0.4,0.75601
0.0,0.4,0.85647
0.0,0.4,0.31529
0.0,0.4,0.05422
0.0,0.4,1.93308
0.0,0.4,0.78614
0.0,0.4,0.04218
0.0,0.4,0.32835
0.0,0.4,1.50442
0.0,0.4,0.6194
0.0,0.4,0.88268
0.0,0.4,0.16835
0.0,0.4,0.02548
0.0,0.4,0.30805
0.0,0.4,1.53725
0.0,0.4,0.08082
0.0,0.4,0.42941
0.0,0.4,0.28568
0.0,0.4,0.26473
0.0,0.4,2.07806
0.0,0.4,0.34021
0.0,0.4,0.80532
0.0,0.4,0.54225
0.0,0.4,2.90353
0.0,0.4,0.05786
0.0,0.4,0.54214
0.0,0.4,0.73996
0.0,0.4,0.11219
0.0,0.4,0.32109
0.0,0.4,1.66336
0.0,0.4,0.77927
0.0,0.4,1.79192
0.0,0.4,0.04356
0.0,0.4,0.38921
0.0,0.4,1.13739
0.0,0.4,1.30546
0.0,0.4,1.67928
0.0,0.4,1.47288
0.0,0.4,0.06656
0.0,0.4,1.97816
0.0,0.4,0.10309
0.0,0.4,1.86526
0.0,0.4,0.47105
0.0,0.4,0.5238
0.0,0.4,1.20647
0.0,0.4,0.35529
0.0,0.4,2.04958
0.0,0.4,0.05144
0.0,0.4,0.67033
0.0,0.4,1.33599
0.0,0.4,0.46981
0.0,0.4,1.32989
0.0,0.4,0.08779
0.0,0.4,0.82194
0.0,0.4,0.32694
0.0,0.4,0.20335
0.0,0.4,0.53855
0.0,0.4,0.21267
0.0,0.4,0.25355
0.0,0.4,1.68776
0.0,0.4,1.57347
0.0,0.4,0.22179
0.0,0.4,0.38886
0.0,0.4,1.04922
0.0,0.4,0.57688
0.0,0.4,1.04529
0.0,0.4,1.71889
0.0,0.4,0.54994
0.0,0.4,1.43559
0.0,0.4,0.02666
0.0,0.4,0.79196
0.0,0.4,1.01749
0.0,0.4,0.57888
0.0,0.4,0.35029
0.0,0.4,0.74167
0.0,0.4,1.52067
0.0,0.4,0.0677
0.0,0.4,0.26633
0.0,0.4,0.6603
0.0,0.4,0.24361
0.0,0.4,1.84613
0.0,0.4,0.31672
0.0,0.4,0.14933
0.0,0.4,0.1262
0.0,0.4,1.23109
0.0,0.4,0.14549
0.0,0.4,2.64452
0.0,0.4,1.29904
0.0,0.4,1.10109
0.0,0.4,1.51247
0.0,0.4,0.7323
0.0,0.4,0.11632
0.0,0.4,0.09365
0.0,0.4,0.61887
0.0,0.4,0.72041
0.0,0.4,0.88558
0.0,0.4,2.17533
0.0,0.4,0.60099
0.0,0.4,0.26029
0.0,0.4,0.93883
0.0,0.4,0.36948
0.0,0.4,0.9998
0.0,0.4,0.77101
0.0,0.4,0.54763
0.0,0.4,0.95439
0.0,0.4,0.93746
0.0,0.4,0.11155
0.0,0.4,0.11492
0.0,0.4,0.99786
0.0,0.4,1.61739
0.0,0.4,0.33403
0.0,0.4,0.21917
0.0,0.4,0.48174
0.0,0.4,0.87659
0.0,0.4,0.2021
0.0,0.4,0.01872
0.0,0.4,1.12396
0.0,0.4,0.01674
0.0,0.4,0.03469
0.0,0.4,0.11333
0.0,0.4,0.00816
0.0,0.4,0.82121
0.0,0.4,0.34461
0.0,0.4,0.08656
0.0,0.4,0.85483
0.0,0.4,0.58241
0.0,0.4,0.91836
0.0,0.4,1.00935
0.0,0.4,0.07787
0.0,0.4,0.52828
0.0,0.4,0.06603
0.0,0.4,0.27265
0.0,0.4,1.22667
0.0,0.4,0.04991
0.0,0.4,0.09962
0.0,0.4,0.57653
0.0,0.4,0.36048
0.0,0.4,0.40249
0.0,0.4,0.63856
0.0,0.4,0.21909
0.0,0.4,0.25416
0.0,0.4,0.56016
0.0,0.4,1.12775
0.0,0.4,0.11861
0.0,0.4,0.52705
0.0,0.4,0.6019
0.0,0.4,0.53789
0.0,0.4,0.13888
0.0,0.4,0.0617
0.0,0.4,0.93849
0.0,0.4,1.02233
0.0,0.4,0.377
0.0,0.4,1.18564
0.0,0.4,0.06315
0.0,0.4,1.39649
0.0,0.4,0.41739
0.0,0.4,2.04905
0.0,0.4,1.95532
0.0,0.4,1.75718
0.0,0.4,0.45231
0.0,0.4,0.09101
0.0,0.4,0.38435
0.0,0.4,0.08853
0.0,0.4,0.48186
0.0,0.4,0.25107
0.0,0.4,0.70655
0.0,0.4,0.3294
0.0,0.4,1.55457
0.0,0.4,0.38366
0.0,0.4,0.01712
0.0,0.4,0.86722
0.0,0.4,1.14479
0.0,0.4,0.74554
0.0,0.4,0.22434
0.0,0.4,2.22929
0.0,0.4,0.93333
0.0,0.4,0.06039
0.0,0.4,2.36073
0.0,0.4,0.37716
0.0,0.4,1.33685
0.0,0.4,0.10272
0.0,0.4,2.00151
0.0,0.4,0.1173
0.0,0.4,0.3403
0.0,0.4,2.20798
0.0,0.4,0.4485
0.0,0.4,1.38836
0.0,0.4,0.0716
0.0,0.4,0.03194
0.0,0.4,1.04207
0.0,0.4,0.38271
0.0,0.4,0.38971
0.0,0.4,0.03487
0.0,0.4,1.34656
0.0,0.4,2.69466
0.0,0.4,0.64643
0.0,0.4,0.00799
0.0,0.4,0.47765
