kappa=-0.1500 alpha=1.01677790921 q=0.5386821012 psi=2.2247377
kappa=-0.1505 alpha=1.01746886771 q=0.538595424 psi=2.223631656
kappa=-0.1510 alpha=1.01816039963 q=0.5385087303 psi=2.222526035
kappa=-0.1515 alpha=1.01885250552 q=0.5384220199 psi=2.221420836
kappa=-0.1520 alpha=1.01954518594 q=0.5383352928 psi=2.22031606
kappa=-0.1525 alpha=1.02023844142 q=0.5382485492 psi=2.219211707
kappa=-0.1530 alpha=1.02093227252 q=0.5381617889 psi=2.218107776
kappa=-0.1535 alpha=1.02162667979 q=0.538075012 psi=2.217004267
kappa=-0.1540 alpha=1.02232166378 q=0.5379882184 psi=2.215901179
kappa=-0.1545 alpha=1.02301722504 q=0.5379014082 psi=2.214798514
kappa=-0.1550 alpha=1.02371336412 q=0.5378145814 psi=2.21369627
kappa=-0.1555 alpha=1.02441008158 q=0.5377277379 psi=2.212594448
kappa=-0.1560 alpha=1.02510737796 q=0.5376408778 psi=2.211493048
kappa=-0.1565 alpha=1.02580525383 q=0.537554001 psi=2.210392068
kappa=-0.1570 alpha=1.02650370973 q=0.5374671076 psi=2.20929151
kappa=-0.1575 alpha=1.02720274623 q=0.5373801975 psi=2.208191372
kappa=-0.1580 alpha=1.02790236387 q=0.5372932707 psi=2.207091656
kappa=-0.1585 alpha=1.02860256321 q=0.5372063273 psi=2.20599236
kappa=-0.1590 alpha=1.02930334482 q=0.5371193672 psi=2.204893484
kappa=-0.1595 alpha=1.03000470923 q=0.5370323905 psi=2.203795029
kappa=-0.1600 alpha=1.03070665703 q=0.536945397 psi=2.202696994
kappa=-0.1605 alpha=1.03140918876 q=0.5368583869 psi=2.201599379
kappa=-0.1610 alpha=1.03211230498 q=0.5367713602 psi=2.200502184
kappa=-0.1615 alpha=1.03281600625 q=0.5366843167 psi=2.199405409
kappa=-0.1620 alpha=1.03352029313 q=0.5365972566 psi=2.198309053
kappa=-0.1625 alpha=1.03422516619 q=0.5365101797 psi=2.197213116
kappa=-0.1630 alpha=1.03493062598 q=0.5364230862 psi=2.196117599
kappa=-0.1635 alpha=1.03563667306 q=0.536335976 psi=2.195022501
kappa=-0.1640 alpha=1.03634330801 q=0.536248849 psi=2.193927823
kappa=-0.1645 alpha=1.03705053137 q=0.5361617054 psi=2.192833562
kappa=-0.1650 alpha=1.03775834373 q=0.5360745451 psi=2.191739721
kappa=-0.1655 alpha=1.03846674563 q=0.5359873681 psi=2.190646298
kappa=-0.1660 alpha=1.03917573765 q=0.5359001743 psi=2.189553294
kappa=-0.1665 alpha=1.03988532036 q=0.5358129639 psi=2.188460707
kappa=-0.1670 alpha=1.0405954943 q=0.5357257367 psi=2.187368539
kappa=-0.1675 alpha=1.04130626007 q=0.5356384928 psi=2.186276789
kappa=-0.1680 alpha=1.04201761822 q=0.5355512322 psi=2.185185457
kappa=-0.1685 alpha=1.04272956931 q=0.5354639548 psi=2.184094542
kappa=-0.1690 alpha=1.04344211393 q=0.5353766608 psi=2.183004045
kappa=-0.1695 alpha=1.04415525263 q=0.53528935 psi=2.181913965
kappa=-0.1700 alpha=1.04486898599 q=0.5352020224 psi=2.180824302
kappa=-0.1705 alpha=1.04558331458 q=0.5351146782 psi=2.179735056
kappa=-0.1710 alpha=1.04629823898 q=0.5350273172 psi=2.178646228
kappa=-0.1715 alpha=1.04701375974 q=0.5349399394 psi=2.177557815
kappa=-0.1720 alpha=1.04772987745 q=0.5348525449 psi=2.17646982
kappa=-0.1725 alpha=1.04844659267 q=0.5347651336 psi=2.175382241
kappa=-0.1730 alpha=1.04916390599 q=0.5346777056 psi=2.174295078
kappa=-0.1735 alpha=1.04988181797 q=0.5345902608 psi=2.173208332
kappa=-0.1740 alpha=1.05060032919 q=0.5345027993 psi=2.172122002
kappa=-0.1745 alpha=1.05131944022 q=0.534415321 psi=2.171036087
kappa=-0.1750 alpha=1.05203915165 q=0.534327826 psi=2.169950588
kappa=-0.1755 alpha=1.05275946405 q=0.5342403141 psi=2.168865505
kappa=-0.1760 alpha=1.05348037799 q=0.5341527855 psi=2.167780837
kappa=-0.1765 alpha=1.05420189405 q=0.5340652402 psi=2.166696584
kappa=-0.1770 alpha=1.05492401282 q=0.533977678 psi=2.165612747
kappa=-0.1775 alpha=1.05564673487 q=0.5338900991 psi=2.164529324
kappa=-0.1780 alpha=1.05637006078 q=0.5338025034 psi=2.163446316
kappa=-0.1785 alpha=1.05709399113 q=0.5337148909 psi=2.162363723
kappa=-0.1790 alpha=1.0578185265 q=0.5336272616 psi=2.161281545
kappa=-0.1795 alpha=1.05854366748 q=0.5335396155 psi=2.160199781
kappa=-0.1800 alpha=1.05926941465 q=0.5334519526 psi=2.159118431
kappa=-0.1805 alpha=1.05999576858 q=0.5333642729 psi=2.158037495
kappa=-0.1810 alpha=1.06072272987 q=0.5332765764 psi=2.156956973
kappa=-0.1815 alpha=1.0614502991 q=0.5331888631 psi=2.155876865
kappa=-0.1820 alpha=1.06217847684 q=0.533101133 psi=2.154797171
kappa=-0.1825 alpha=1.0629072637 q=0.5330133861 psi=2.15371789
kappa=-0.1830 alpha=1.06363666025 q=0.5329256223 psi=2.152639022
kappa=-0.1835 alpha=1.06436666708 q=0.5328378418 psi=2.151560568
kappa=-0.1840 alpha=1.06509728478 q=0.5327500444 psi=2.150482527
kappa=-0.1845 alpha=1.06582851393 q=0.5326622302 psi=2.149404898
kappa=-0.1850 alpha=1.06656035513 q=0.5325743992 psi=2.148327683
kappa=-0.1855 alpha=1.06729280897 q=0.5324865513 psi=2.14725088
kappa=-0.1860 alpha=1.06802587602 q=0.5323986866 psi=2.146174489
kappa=-0.1865 alpha=1.06875955689 q=0.5323108051 psi=2.145098511
kappa=-0.1870 alpha=1.06949385217 q=0.5322229067 psi=2.144022945
