kappa=-0.3500 alpha=1.34539796351 q=0.5026524892 psi=1.814531564
kappa=-0.3505 alpha=1.34636901054 q=0.5025589196 psi=1.813583261
kappa=-0.3510 alpha=1.34734090518 q=0.5024653323 psi=1.812635324
kappa=-0.3515 alpha=1.34831364827 q=0.502371727 psi=1.811687754
kappa=-0.3520 alpha=1.34928724067 q=0.502278104 psi=1.810740551
kappa=-0.3525 alpha=1.35026168321 q=0.5021844631 psi=1.809793715
kappa=-0.3530 alpha=1.35123697675 q=0.5020908044 psi=1.808847246
kappa=-0.3535 alpha=1.35221312214 q=0.5019971278 psi=1.807901144
kappa=-0.3540 alpha=1.35319012024 q=0.5019034333 psi=1.806955407
kappa=-0.3545 alpha=1.3541679719 q=0.501809721 psi=1.806010038
kappa=-0.3550 alpha=1.35514667797 q=0.5017159909 psi=1.805065034
kappa=-0.3555 alpha=1.3561262393 q=0.5016222428 psi=1.804120396
kappa=-0.3560 alpha=1.35710665676 q=0.501528477 psi=1.803176125
kappa=-0.3565 alpha=1.3580879312 q=0.5014346932 psi=1.802232219
kappa=-0.3570 alpha=1.35907006348 q=0.5013408916 psi=1.801288679
kappa=-0.3575 alpha=1.36005305446 q=0.5012470721 psi=1.800345504
kappa=-0.3580 alpha=1.361036905 q=0.5011532347 psi=1.799402695
kappa=-0.3585 alpha=1.36202161596 q=0.5010593795 psi=1.798460251
kappa=-0.3590 alpha=1.3630071882 q=0.5009655063 psi=1.797518172
kappa=-0.3595 alpha=1.36399362258 q=0.5008716153 psi=1.796576458
kappa=-0.3600 alpha=1.36498091997 q=0.5007777064 psi=1.79563511
kappa=-0.3605 alpha=1.36596908124 q=0.5006837796 psi=1.794694126
kappa=-0.3610 alpha=1.36695810724 q=0.5005898349 psi=1.793753506
kappa=-0.3615 alpha=1.36794799885 q=0.5004958723 psi=1.792813251
kappa=-0.3620 alpha=1.36893875694 q=0.5004018919 psi=1.791873361
kappa=-0.3625 alpha=1.36993038237 q=0.5003078935 psi=1.790933835
kappa=-0.3630 alpha=1.37092287601 q=0.5002138772 psi=1.789994673
kappa=-0.3635 alpha=1.37191623874 q=0.500119843 psi=1.789055875
kappa=-0.3640 alpha=1.37291047142 q=0.5000257909 psi=1.788117441
kappa=-0.3645 alpha=1.37390557493 q=0.4999317209 psi=1.787179371
kappa=-0.3650 alpha=1.37490155014 q=0.4998376329 psi=1.786241664
kappa=-0.3655 alpha=1.37589839793 q=0.4997435271 psi=1.785304321
kappa=-0.3660 alpha=1.37689611917 q=0.4996494033 psi=1.784367342
kappa=-0.3665 alpha=1.37789471473 q=0.4995552616 psi=1.783430725
kappa=-0.3670 alpha=1.37889418551 q=0.4994611019 psi=1.782494472
kappa=-0.3675 alpha=1.37989453237 q=0.4993669244 psi=1.781558582
kappa=-0.3680 alpha=1.38089575619 q=0.4992727289 psi=1.780623055
kappa=-0.3685 alpha=1.38189785786 q=0.4991785154 psi=1.77968789
kappa=-0.3690 alpha=1.38290083826 q=0.4990842841 psi=1.778753088
kappa=-0.3695 alpha=1.38390469827 q=0.4989900347 psi=1.777818649
kappa=-0.3700 alpha=1.38490943876 q=0.4988957675 psi=1.776884572
kappa=-0.3705 alpha=1.38591506064 q=0.4988014823 psi=1.775950857
kappa=-0.3710 alpha=1.38692156478 q=0.4987071791 psi=1.775017505
kappa=-0.3715 alpha=1.38792895207 q=0.498612858 psi=1.774084514
kappa=-0.3720 alpha=1.38893722339 q=0.4985185189 psi=1.773151885
kappa=-0.3725 alpha=1.38994637964 q=0.4984241619 psi=1.772219619
kappa=-0.3730 alpha=1.3909564217 q=0.4983297869 psi=1.771287713
kappa=-0.3735 alpha=1.39196735047 q=0.4982353939 psi=1.77035617
kappa=-0.3740 alpha=1.39297916684 q=0.498140983 psi=1.769424987
kappa=-0.3745 alpha=1.3939918717 q=0.4980465541 psi=1.768494166
kappa=-0.3750 alpha=1.39500546593 q=0.4979521072 psi=1.767563706
kappa=-0.3755 alpha=1.39601995045 q=0.4978576424 psi=1.766633607
kappa=-0.3760 alpha=1.39703532614 q=0.4977631596 psi=1.765703869
kappa=-0.3765 alpha=1.39805159389 q=0.4976686588 psi=1.764774492
kappa=-0.3770 alpha=1.39906875462 q=0.49757414 psi=1.763845475
kappa=-0.3775 alpha=1.40008680921 q=0.4974796032 psi=1.762916819
kappa=-0.3780 alpha=1.40110575856 q=0.4973850484 psi=1.761988523
kappa=-0.3785 alpha=1.40212560358 q=0.4972904756 psi=1.761060588
kappa=-0.3790 alpha=1.40314634517 q=0.4971958849 psi=1.760133012
kappa=-0.3795 alpha=1.40416798422 q=0.4971012761 psi=1.759205797
kappa=-0.3800 alpha=1.40519052165 q=0.4970066493 psi=1.758278942
kappa=-0.3805 alpha=1.40621395835 q=0.4969120046 psi=1.757352446
kappa=-0.3810 alpha=1.40723829524 q=0.4968173418 psi=1.75642631
kappa=-0.3815 alpha=1.40826353322 q=0.496722661 psi=1.755500533
kappa=-0.3820 alpha=1.40928967319 q=0.4966279622 psi=1.754575116
kappa=-0.3825 alpha=1.41031671608 q=0.4965332454 psi=1.753650058
kappa=-0.3830 alpha=1.41134466277 q=0.4964385105 psi=1.75272536
kappa=-0.3835 alpha=1.41237351419 q=0.4963437577 psi=1.75180102
kappa=-0.3840 alpha=1.41340327125 q=0.4962489868 psi=1.750877039
kappa=-0.3845 alpha=1.41443393487 q=0.4961541979 psi=1.749953417
kappa=-0.3850 alpha=1.41546550594 q=0.4960593909 psi=1.749030154
kappa=-0.3855 alpha=1.4164979854 q=0.4959645659 psi=1.748107249
kappa=-0.3860 alpha=1.41753137415 q=0.4958697229 psi=1.747184702
kappa=-0.3865 alpha=1.41856567311 q=0.4957748619 psi=1.746262514
kappa=-0.3870 alpha=1.4196008832 q=0.4956799828 psi=1.745340684
kappa=-0.3875 alpha=1.42063700534 q=0.4955850856 psi=1.744419212
kappa=-0.3880 alpha=1.42167404045 q=0.4954901704 psi=1.743498098
kappa=-0.3885 alpha=1.42271198945 q=0.4953952372 psi=1.742577341
kappa=-0.3890 alpha=1.42375085326 q=0.4953002859 psi=1.741656943
kappa=-0.3895 alpha=1.42479063281 q=0.4952053165 psi=1.740736901
kappa=-0.3900 alpha=1.42583132901 q=0.4951103291 psi=1.739817218
kappa=-0.3905 alpha=1.4268729428 q=0.4950153237 psi=1.738897891
kappa=-0.3910 alpha=1.4279154751 q=0.4949203001 psi=1.737978922
kappa=-0.3915 alpha=1.42895892683 q=0.4948252585 psi=1.737060309
kappa=-0.3920 alpha=1.43000329894 q=0.4947301989 psi=1.736142054
kappa=-0.3925 alpha=1.43104859233 q=0.4946351211 psi=1.735224155
kappa=-0.3930 alpha=1.43209480795 q=0.4945400253 psi=1.734306613
kappa=-0.3935 alpha=1.43314194673 q=0.4944449114 psi=1.733389428
kappa=-0.3940 alpha=1.4341900096 q=0.4943497794 psi=1.732472599
kappa=-0.3945 alpha=1.43523899749 q=0.4942546293 psi=1.731556126
kappa=-0.3950 alpha=1.43628891134 q=0.4941594612 psi=1.73064001
kappa=-0.3955 alpha=1.43733975208 q=0.4940642749 psi=1.729724249
kappa=-0.3960 alpha=1.43839152065 q=0.4939690706 psi=1.728808845
kappa=-0.3965 alpha=1.43944421799 q=0.4938738482 psi=1.727893796
kappa=-0.3970 alpha=1.44049784503 q=0.4937786076 psi=1.726979103
kappa=-0.3975 alpha=1.44155240272 q=0.493683349 psi=1.726064766
kappa=-0.3980 alpha=1.44260789199 q=0.4935880723 psi=1.725150783
kappa=-0.3985 alpha=1.4436643138 q=0.4934927774 psi=1.724237157
kappa=-0.3990 alpha=1.44472166908 q=0.4933974645 psi=1.723323885
kappa=-0.3995 alpha=1.44577995877 q=0.4933021334 psi=1.722410969
kappa=-0.4000 alpha=1.44683918382 q=0.4932067842 psi=1.721498407
kappa=-0.4005 alpha=1.44789934518 q=0.493111417 psi=1.7205862
kappa=-0.4010 alpha=1.44896044379 q=0.4930160315 psi=1.719674348
kappa=-0.4015 alpha=1.45002248061 q=0.492920628 psi=1.718762851
kappa=-0.4020 alpha=1.45108545658 q=0.4928252063 psi=1.717851708
kappa=-0.4025 alpha=1.45214937265 q=0.4927297665 psi=1.716940919
