kappa=+0.1600 alpha=0.680077068278 q=0.5893458859 psi=2.998303893
kappa=+0.1605 alpha=0.679656182696 q=0.5894228352 psi=2.999704198
kappa=+0.1610 alpha=0.679235620215 q=0.5894997698 psi=3.001105033
kappa=+0.1615 alpha=0.678815380547 q=0.5895766897 psi=3.002506396
kappa=+0.1620 alpha=0.678395463406 q=0.5896535948 psi=3.00390829
kappa=+0.1625 alpha=0.677975868503 q=0.5897304851 psi=3.005310712
kappa=+0.1630 alpha=0.677556595553 q=0.5898073608 psi=3.006713664
kappa=+0.1635 alpha=0.677137644268 q=0.5898842217 psi=3.008117147
kappa=+0.1640 alpha=0.676719014362 q=0.5899610679 psi=3.009521159
kappa=+0.1645 alpha=0.67630070555 q=0.5900378994 psi=3.010925702
kappa=+0.1650 alpha=0.675882717546 q=0.5901147162 psi=3.012330775
kappa=+0.1655 alpha=0.675465050064 q=0.5901915183 psi=3.013736379
kappa=+0.1660 alpha=0.675047702819 q=0.5902683056 psi=3.015142514
kappa=+0.1665 alpha=0.674630675527 q=0.5903450783 psi=3.01654918
kappa=+0.1670 alpha=0.674213967903 q=0.5904218362 psi=3.017956377
kappa=+0.1675 alpha=0.673797579662 q=0.5904985795 psi=3.019364106
kappa=+0.1680 alpha=0.673381510521 q=0.590575308 psi=3.020772366
kappa=+0.1685 alpha=0.672965760197 q=0.5906520219 psi=3.022181159
kappa=+0.1690 alpha=0.672550328405 q=0.5907287211 psi=3.023590483
kappa=+0.1695 alpha=0.672135214862 q=0.5908054055 psi=3.025000339
kappa=+0.1700 alpha=0.671720419287 q=0.5908820753 psi=3.026410728
kappa=+0.1705 alpha=0.671305941395 q=0.5909587304 psi=3.02782165
kappa=+0.1710 alpha=0.670891780906 q=0.5910353709 psi=3.029233104
kappa=+0.1715 alpha=0.670477937537 q=0.5911119966 psi=3.030645092
kappa=+0.1720 alpha=0.670064411006 q=0.5911886077 psi=3.032057613
kappa=+0.1725 alpha=0.669651201032 q=0.5912652041 psi=3.033470667
kappa=+0.1730 alpha=0.669238307334 q=0.5913417858 psi=3.034884254
kappa=+0.1735 alpha=0.668825729631 q=0.5914183529 psi=3.036298376
kappa=+0.1740 alpha=0.668413467642 q=0.5914949053 psi=3.037713031
kappa=+0.1745 alpha=0.668001521087 q=0.591571443 psi=3.039128221
kappa=+0.1750 alpha=0.667589889687 q=0.5916479661 psi=3.040543944
kappa=+0.1755 alpha=0.667178573161 q=0.5917244746 psi=3.041960203
kappa=+0.1760 alpha=0.666767571229 q=0.5918009683 psi=3.043376996
kappa=+0.1765 alpha=0.666356883614 q=0.5918774475 psi=3.044794324
kappa=+0.1770 alpha=0.665946510035 q=0.591953912 psi=3.046212188
kappa=+0.1775 alpha=0.665536450215 q=0.5920303618 psi=3.047630586
kappa=+0.1780 alpha=0.665126703874 q=0.592106797 psi=3.04904952
kappa=+0.1785 alpha=0.664717270735 q=0.5921832176 psi=3.05046899
kappa=+0.1790 alpha=0.664308150521 q=0.5922596235 psi=3.051888996
kappa=+0.1795 alpha=0.663899342953 q=0.5923360148 psi=3.053309538
kappa=+0.1800 alpha=0.663490847754 q=0.5924123915 psi=3.054730616
kappa=+0.1805 alpha=0.663082664648 q=0.5924887535 psi=3.05615223
kappa=+0.1810 alpha=0.662674793357 q=0.5925651009 psi=3.057574382
kappa=+0.1815 alpha=0.662267233605 q=0.5926414337 psi=3.05899707
kappa=+0.1820 alpha=0.661859985117 q=0.5927177519 psi=3.060420295
kappa=+0.1825 alpha=0.661453047616 q=0.5927940555 psi=3.061844058
kappa=+0.1830 alpha=0.661046420827 q=0.5928703444 psi=3.063268358
kappa=+0.1835 alpha=0.660640104474 q=0.5929466188 psi=3.064693195
kappa=+0.1840 alpha=0.660234098283 q=0.5930228785 psi=3.066118571
kappa=+0.1845 alpha=0.659828401978 q=0.5930991237 psi=3.067544484
kappa=+0.1850 alpha=0.659423015286 q=0.5931753542 psi=3.068970936
kappa=+0.1855 alpha=0.659017937931 q=0.5932515701 psi=3.070397926
kappa=+0.1860 alpha=0.658613169641 q=0.5933277715 psi=3.071825455
kappa=+0.1865 alpha=0.658208710141 q=0.5934039583 psi=3.073253523
kappa=+0.1870 alpha=0.657804559157 q=0.5934801304 psi=3.074682129
kappa=+0.1875 alpha=0.657400716418 q=0.593556288 psi=3.076111275
kappa=+0.1880 alpha=0.65699718165 q=0.593632431 psi=3.077540961
kappa=+0.1885 alpha=0.65659395458 q=0.5937085594 psi=3.078971185
kappa=+0.1890 alpha=0.656191034936 q=0.5937846732 psi=3.08040195
kappa=+0.1895 alpha=0.655788422447 q=0.5938607725 psi=3.081833255
kappa=+0.1900 alpha=0.655386116839 q=0.5939368572 psi=3.0832651
wrote 60 slabs -> slabs_pos3.json
