kappa,M11,M12,M22,det
-2.0000,-0.043006,-0.0385716,-0.0350779,2.07924e-05
-1.5000,-0.0660443,-0.0533786,-0.0452641,0.00014016
-1.0000,-0.0771148,-0.0560713,-0.044973,0.000324092
-0.5000,-0.0669685,-0.0437392,-0.0341569,0.000374322
-0.2500,-0.0570346,-0.0349939,-0.0273789,0.000336967
0.0000,-0.0460236,-0.0261237,-0.0208017,0.000274923
0.11,-0.04116675306159707214312552,-0.02239205228759365392009922,-0.01810153533954120698132423,0.0002437774297083373897252649
0.13,-0.04029353399942619806665918,-0.02173107223413993253948762,-0.0176268506698819255107266,0.0002380086063242883015558368
0.16,-0.03899154452721369761725462,-0.02075088179748670656872915,-0.01692482610683775274452881,0.0002293260153868479601501105
0.2500,-0.0351539,-0.0178978,-0.0148939,0.000203246
0.5000,-0.02523,-0.0107569,-0.00988513,0.000133691
0.7500,-0.0166946,-0.00488652,-0.00583707,7.35692e-05
1.0000,-0.00971093,-0.000293641,-0.00270393,2.61714e-05
1.0500,-0.00850031,0.000479505,-0.00217841,1.82872e-05
1.1000,-0.00735001,0.00120675,-0.00168431,1.09235e-05
1.1500,-0.00625893,0.00188938,-0.00122058,4.06974e-06
1.2000,-0.00522582,0.00252874,-0.000786126,-2.28639e-06
1.2500,-0.00424932,0.00312623,-0.000379864,-8.15917e-06
1.3000,-0.00332796,0.00368329,-6.86582e-07,-1.35644e-05
1.4000,-0.00164431,0.00468203,0.000680847,-2.30409e-05
1.5000,-0.000161513,0.00553693,0.00126729,-3.08622e-05
