kappa,alpha,q,psi,gamma,kb,ElogPsi,PRprime,amp_works,lambda0,z0,fp_iters,newton_iters,dG_dq,dG_dpsi,alpha_annealed,alpha_sph,seconds
-0.05,0.8894089709449193095565888,0.5556877326438336552621452,2.454655030896933932121418,1.118333289127951565192713,-0.07501115492997928955574241,-1.006267322932407737837863,0.7362375475769066446505425,0.5494699793921474626918149,-0.1839965695361990159669828,-0.6560952407413072737796256,9,5,-5.817849176004962064911498e-20,0.0,1.059786521788661057886491,2.167602721064711039196443,51.2
-0.1,0.9504863141725594467873738,0.5472664353768269060327676,2.337503892219341908782194,1.099456522070860340396795,-0.1486204778596863552288205,-0.9309934050144755769611665,0.7288427536823172033440253,0.5544695787077827725701293,-0.1772192362638661867751491,-0.6428146736152814728626481,9,5,-5.275507303665516448690935e-20,0.0,1.124317189945657166851324,2.352505937395916994557515,54.2
-0.15,1.016777909206487026651326,0.5386821012173924996140022,2.224737700463410186461295,1.080602878637483932178795,-0.2208467977573851502499122,-0.8606676485617119251093665,0.7213438549383683383736351,0.559346210534573360121908,-0.1706728402845425638855011,-0.6295140573398304706387307,9,5,-4.831773044478697308146837e-20,4.930380657631323783823304e-22,1.194049068572836546517972,2.55676654585698121714736,57.6
-0.2,1.088803137475601018189993,0.5299316277550005459564975,2.116202425988371208590541,1.061767442880406203076139,-0.2917087659129081879498719,-0.7950140623610189108009959,0.7137454243194408515892025,0.5640867455471974973923891,-0.1643647275024018040557028,-0.616233829925061035837075,9,5,-4.38803878529187816760274e-20,0.0,1.269490207969808319559888,2.782714286732139117446271,64.2
-0.25,1.167139944232634555358486,0.5210119137151132683344393,2.01175007631446814537367,1.042945156030233426589831,-0.3612248778883218014596137,-0.7337689062912407287198629,0.706052350583152691549384,0.5686772869453373484678531,-0.1583014077292859369293567,-0.6030145468893014548683595,9,5,-3.993608332681372264896876e-20,9.860761315262647567646607e-22,1.351206038914015872735425,3.032991365753994777923424,98.0
-0.3,1.25243218162676586802895,0.5119198790383289437704507,1.911238561962750340728169,1.024130823655284935325293,-0.4294135011343689804610332,-0.6766803188034489346061347,0.6982698250692966861614721,0.5731031143958831997734654,-0.1524885923112326859883993,-0.5898965981887682676898521,9,5,-3.747089299799806075705711e-20,0.0,1.439826650673113641767323,3.310598294196739376944376,57.6
-0.35,1.345397963506360374009946,0.5026524891675545732955747,1.814531564475335268966822,1.00531912467972533729635,-0.4962929089254994779409933,-0.6235079475840069359335952,0.6904033229197692271626826,0.5773486231826228184254992,-0.1469312452037467134057037,-0.5769199557311223696132174,9,5,-3.352658847189300172999846e-20,0.0,1.536055085436176622490948,3.618946991604092455847563,72.7
-0.4,1.446839183820021305821744,0.4932067842468422551914592,1.721498407126009648445837,0.986504622692952295938663,-0.5618813213616646530879328,-0.5740225838334952127909368,0.682458577617971597668225,0.5813972583257014087846647,-0.1416336467178336422428282,-0.5641239545093493905625337,9,5,-3.106139814307733983808681e-20,0.0,1.640676803264140901561241,3.961922382194249240648931,62.7
-0.45,1.557652375153233611295488,0.4835799140419468769798431,1.632013928769745477525323,0.9676817800692010825496751,-0.6261969542917581732163644,-0.5280058005555717193728239,0.6744415475525835845175426,0.5852314434854660221784441,-0.1365994691569215772858041,-0.5515471091402322354468879,9,5,-2.76101316827354131894105e-20,9.860761315262647567646607e-22,1.75457049675847713298857,4.343953937628294520442014,48.4
-0.5,1.678841112916980011920825,0.4737691795115374927947549,1.545958361207530108683868,0.9488449755174781218985216,-0.6892580771316292047728477,-0.4852495952135498847083898,0.6663583730892757527633839,0.5888325045466117888136569,-0.1318318636163026419099444,-0.5392269664635082708770142,9,5,-2.563797941968288367588118e-20,4.930380657631323783823304e-22,1.878720464102193909841713,4.770098882619385700235052,75.2
